Queijo Ralado Gran Mestri Parmesao 40g Por: R$ 3,49 
Leite Tirol Desnatado Longa Vida 1l Por: R$ 3,39 
Achocolatado Toddynho Chocolate 200ml Por: R$ 1,89 
Margarina Qualy Crem Com Sal 500g Por: R$ 5,48 -9% 
Leite Fermentado Vigor Tradicional C/6 450g Por: R$ 4,19 
Leite Aurora Semidesnat Rosca Longa Vida 1l Por: R$ 3,39 
Manteiga Latelli Com Sal Pote 200g Por: R$ 6,39 
Queijo Ralado Vigor Parmesao 50g Por: R$ 3,49 -8% 
Achocolatado Nescau Prontinho 200ml Por: R$ 1,99 
Iog Tirol Frutas Bj 540g Por: R$ 3,49 
Manteiga Tirol Com Sal Pote 200g Por: R$ 6,99 
Margarina Doriana Com Sal 500g Por: R$ 5,49 
Queijo Lasaroli Mussarela Fatiado 400g Por: R$ 14,99 
Linguiça Pamplona Tip Calabresa Coz 400g Por: R$ 9,99 
